URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/artist/pixie-lott/p%3A1096302/,410,,3/2/12,Not found
http://www.tescoentertainment.com/tesco/9993134.product,404,,1/21/12,Not found
http://www.tescoentertainment.com/dvd/wall-e/9990169.html,404,,2/23/11,Not found
http://www.tescoentertainment.com/dvd/aladdin-musical-masterpiece-special-edition/9982780.html,404,,2/23/11,Not found
http://www.tescoentertainment.com/tesco/10032686.product,404,,11/8/11,Not found
http://www.tescoentertainment.com/dvd/inglorious-bastards/10048052.html,404,,2/17/11,Not found
http://www.tescoentertainment.com/store/artist/paolo-nutini/p%3A756246/,410,,3/5/12,Not found
http://www.tescoentertainment.com/dvd/pete-s-dragon/10062583.html,404,,2/23/11,Not found
http://www.tescoentertainment.com/store/dvd/sherlock-holmes-dvd-(includes-tesco-exclusive-bonus-digital-download)/8:689301/,404,,12/19/11,Not found
http://www.tescoentertainment.com/store/artist/mumford-%26-sons/p%3A1155138/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/lady-gaga/p%3A1002780/,410,,2/11/12,Not found
http://www.tescoentertainment.com/store/artist/michael-jackson/p%3A3900/,410,,3/10/12,Not found
http://www.tescoentertainment.com/summer/,404,,8/24/11,Not found
http://www.tescoentertainment.com/store/artist/taio-cruz/p%3A797335/,410,,3/13/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/campaign/BlackSwan/,404,,3/7/12,Not found
http://www.tescoentertainment.com/tesco/9999269.product,404,,2/23/12,Not found
http://www.tescoentertainment.com/store/games/microsoft-xbox-360-fifa-12/8:773679/,404,,11/28/11,Not found
http://www.tescoentertainment.com/store/games/psp-psvita-3g/8:791231/,404,,3/10/12,Not found
http://www.tescoentertainment.com/tesco/10043857.product,404,,11/22/11,Not found
http://www.tescoentertainment.com/store/blu-ray/alvin-and-the-chipmunks--chipwrecked--triple-play/8%3A934500,404,,3/14/12,Not found
http://www.tescoentertainment.com/store/games/-silent-hill--downpour/8%3A779844,404,,3/14/12,Not found
http://www.tescoentertainment.com/store/mp3/ben-rusch-architects-of-time/2%3A41565399/,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/artist/leona-lewis/p%3A815974/,410,,3/5/12,Not found
http://www.tescoentertainment.com/tesco/10042986.product,404,,12/5/11,Not found
http://www.tescoentertainment.com/store/artist/adele/p%3A811009/,410,,2/3/12,Not found
http://www.tescoentertainment.com/tesco/10042984.product,404,,1/5/12,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-3-batman--arkham-city-(joker-steelbook-edition)-with-tesco-exclusive-jokers-carnival-challenge-map/8:779744/,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/artist/james-morrison/p%3A761640/,404,,2/12/12,Not found
http://www.tescoentertainment.com/tesco/8622458.product,404,,12/26/11,Not found
http://www.tescoentertainment.com/store/artist/plan-b/p%3A1324912/,410,,3/13/12,Not found
http://www.tescoentertainment.com/store/mp3/leicester-allstars--straight-from-lc,404,,1/4/12,Not found
http://www.tescoentertainment.com/store/artist/christina-aguilera/p%3A324079/,410,,2/7/12,Not found
http://www.tescoentertainment.com/tesco/9979075.product,404,,11/22/11,Not found
http://www.tescoentertainment.com/store/artist/neyo/p%3A688105/,410,,2/10/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tinkertailorsoldierspy/,404,,3/6/12,Not found
http://www.tescoentertainment.com/store/artist/cheryl-cole/p%3A1151071/,410,,3/3/12,Not found
http://www.tescoentertainment.com/store/artist/enrique-iglesias/p%3A141146/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/artist/beyonc/p%3A316038/,410,,2/10/12,Not found
http://www.tescoentertainment.com/store/artist/kings-of-leon/p%3A507600/,410,,2/12/12,Not found
http://www.tescoentertainment.com/store/blu-ray/star-trek-xi-with-digital-copy/8:514478/,404,,1/27/12,Not found
http://www.tescoentertainment.com/store/artist/tinie-tempah/p%3A962068/,410,,3/10/12,Not found
http://www.tescoentertainment.com/store/artist/sophie-ellisbextor/p%3A464434/,410,,2/21/12,Not found
http://www.tescoentertainment.com/tesco/10022422.product,404,,1/11/12,Not found
http://www.tescoentertainment.com/store/artist/snow-patrol/p%3A304821/,410,,2/7/12,Not found
